SCIENTIFIC NAME	PHISICAL SPECIMEN ID	ORGANIZATION	SPECIMENT TYPE	MODIFIED	LICENSE	LOCATION QUALITATIVE [QUANTITATIVE]	GEOLOGICAL AGE	COLLECTING NUMBER	COLLECTING AGENT	DATE COLLECTED	TYPE STATUS (Optional)	MEDIA
Cochlostoma septemspirale Klemm	54826	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Soleweg ober Hallstatt		54826	Klemm	7/7/1967		
Cochlostoma septemspirale Klemm	65540	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Hallstatt, Gangsteig, Klamm		65540		3.8.1973		
Cochlostoma septemspirale Klemm	49254	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Soleweg Gosaumühle - Steeg		49254	Klemm	4.7.1963		
Cochlostoma septemspirale Klemm	47758	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Rauer Koppen, unt. Felswände bei Koppenwinkel		47758	Klemm	10.8.1962		
Cochlostoma septemspirale Klemm	49548	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Bad Ischl, Kroissenbachwald		49548	Klemm	12.7.1963		
Cochlostoma septemspirale Klemm	48847	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Reichraming		48847	Ganslm.	18.5.1935		
Cochlostoma septemspirale Klemm	47807	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Bad Ischl, Kalvarienberg Nord		47807	Klemm	18.3.1962		
Cochlostoma septemspirale Klemm	52180	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Hallstatt Nordende		52180	Klemm	16.9.1965		
Cochlostoma septemspirale Klemm	49449	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Hallstatt, Schleierfall		49449	Klemm	10.9.1963		
Cochlostoma septemspirale Klemm	49330	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Sarstein Westwand		49330	Klemm	2.8.1963		
Cochlostoma septemspirale Klemm	26240	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Pürglstein bei Strobl am Abersee, Seefelsen		26240	Klemm	28.10.1947		
Cochlostoma septemspirale Klemm	47965	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Ruine Wildenstein bei Bad Ischl		47965	Klemm	6.7.1962		
Cochlostoma septemspirale Klemm	27617	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Obertraun		27617	Klemm	4.8.1948		
Cochlostoma septemspirale Klemm	64678	NHM Wien	PRESERVED SPECIMEN	10/24/2022		Österreich, Oberösterreich, Soleweg Bad Ischl - Lauffen		64678	Klemm	6.9.1972		
Cochlostoma septemspirale Klemm	26211	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Pürglstein bei Strobl am Abersee, Waldfelsen		26211	Klemm	28.10.1947		
Cochlostoma septemspirale Klemm	64915	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Steyr		64915				
Cochlostoma septemspirale Klemm	47796	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, oberhalb Salzburgerstraße bei Jainzenbrücke		47796	Klemm	17.8.1962		
Cochlostoma septemspirale Klemm	47378	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Jainzenberg		47378	Klemm	3.7.1962		
Cochlostoma septemspirale Klemm	47709	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Felshang nördl. Jainzen		47709	Klemm	9.8.1962		
Cochlostoma septemspirale Klemm	27634	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl		27634	Klemm	4.8.1948		
Cochlostoma septemspirale Klemm	65529	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Hallstatt, Waldbachstrub		65529	Klemm	3.8.1973		
Cochlostoma septemspirale Klemm	49287	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Rettenbachtal bei Straßentunnel		49287	Klemm	18.7.1963		
Cochlostoma septemspirale Klemm	56279	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Traunau östl. Bad Ischl		56279	Klemm	6.6.1968		
Cochlostoma septemspirale Klemm	48818	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Steyr, Sandbruch		48818	Ganslm.	5.10.1920		
Cochlostoma septemspirale Klemm	47445	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Straße von Aigen zum Nussensee		47445	Klemm	12.7.1962		
Cochlostoma septemspirale Klemm	56310	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Straßenfelsen zwischen Hallstatt und Gosaumühle		56310	Klemm	30.6.1968		
Cochlostoma septemspirale Klemm	38034	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Traunsee, Rindbachtal		38034	Strouhal			
Cochlostoma septemspirale Klemm	49560	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Rettenbachleiten		49560	Klemm	12.7.1963		
Cochlostoma septemspirale Klemm	47681	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Soleweg Gosaumühle - Steeg		47681	Klemm	28.7.1962		
Cochlostoma septemspirale Klemm	47784	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Ziemnitzgraben Leonsberg, Südabfall		47784	Klemm	17.8.1962		
Cochlostoma septemspirale Klemm	50927	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Ebensee, Löwendenkmal		50927	Klemm	7.9.1964		
Cochlostoma septemspirale Klemm	6289	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Kalmberg bei Goisern		6289	Fuchs	7.1939		
Cochlostoma septemspirale Klemm	46744	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Hochsteinalm bei Traunkirchen		46744	Weis	1961		
Cochlostoma septemspirale Klemm	57611	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, alte Römerstraße		57611	Strouhal	8.8.1955		
Cochlostoma septemspirale Klemm	52101	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Siriuskogel		52101	Klemm	23.6.1965		
Cochlostoma septemspirale Klemm	47400	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Straßenfelsen beim Frachtenbahnhof		47400	Klemm	7.7.1962		
Cochlostoma septemspirale Klemm	61822	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Ruine Wildenstein		61822	Klemm	26.6.1970		
Cochlostoma septemspirale Klemm	47543	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Vorderer Gosausee		47543	Klemm	20.7.1962		
Cochlostoma septemspirale Klemm	49368	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Ewige Wand bei Goisern		49368	Klemm	8.8.1963		
Cochlostoma septemspirale Klemm	38011	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Fahrnaugupf bei Traunkirchen		38011	Strouhal	20.7.1949		
Cochlostoma septemspirale Klemm	47327	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Soleleitungsweg zwischen Lauffen und Bad Ischl		47327	Klemm	26.6.1962		
Cochlostoma septemspirale Klemm	6422	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Goisern		6422	Fuchs	8.1939		
Cochlostoma septemspirale Klemm	47340	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Jainzenberg,SO, Felsen		47340	Klemm	27.6.1962		
Cochlostoma septemspirale Klemm	4710	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Hallstatt		4710	Fuchs			
Cochlostoma septemspirale Klemm	1643	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Weyer, Gamskögerl		1643	Ganslm.			
Cochlostoma septemspirale Klemm	59326	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Seestraße bei Hallstatt		59326	Klemm	9.7.1966		
Cochlostoma septemspirale Klemm	7040	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Goisern, Jochwand		7040	Fuchs	7.1939		
Cochlostoma septemspirale Klemm	64668	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, alte Römerstraße bei Bad Ischl		64668	Klemm	6.9.1972		
Cochlostoma septemspirale Klemm	52059	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Rettenbachgenist		52059	Klemm	19.6.1965		
Cochlostoma septemspirale Klemm	26293	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Ebensee		26293	Klemm	30.10.1947		
Cochlostoma septemspirale Klemm	1630	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Weyer, Rettensteinkogel		1630	Ganslm.			
Cochlostoma septemspirale Klemm	57087	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Hinterstoder, Hintertombergau		57087	Hamann	26.10.1968		
Cochlostoma septemspirale Klemm	54791	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Jainzental, Felsen östl. d. Wasserfalls		54791	Klemm	7.6.1967		
Cochlostoma septemspirale Klemm	27599	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Koppenwinkel bei Obertraun		27599	Klemm	4.8.1948		
Cochlostoma septemspirale Klemm	48846	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Kleinreifling		48846	Klemm	27.8.1935		
Cochlostoma septemspirale Klemm	48298	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Wirt am Berg, 15 km südl. v. Wels		48298	Hamann	2.9.1962		
Cochlostoma septemspirale Klemm	40795	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Windischgarsten		40795	Ffranz			
Cochlostoma septemspirale Klemm	25043	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Pfarrkirchen bei Bad Hall		25043	Mahler	10.10.1940		
Cochlostoma septemspirale Klemm	23116	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Plomberg am Mondsee		23116	Klemm	13.10.1945		
Cochlostoma septemspirale Klemm	52354	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Windischgarsten		52354	Seidl	26.9.1965		
Cochlostoma septemspirale Klemm	24903	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Gosauschmied		24903	Klemm	30.9.1946		
Cochlostoma septemspirale Klemm	56312	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Straßenfelsen zwischen Hallstatt und Obertraun		56312	Klemm	3.6.1968		
Cochlostoma septemspirale Klemm	48703	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Klaus		48703	Hamann	26.5.1946		
Cochlostoma septemspirale Klemm	63746	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, obertraun, Sarsteinwald, ob. Weg		63746	Klemm	3.8.1970		
Cochlostoma septemspirale Klemm	50958	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Kroissenwald		50958	Klemm	9.9.1964		
Cochlostoma septemspirale Klemm	49359	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Antenberg bei Antenau		49359	Klemm	8.8.1963		
Cochlostoma septemspirale Klemm	4065	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Scharfling		4065	Waringer	8.1936		
Cochlostoma septemspirale Klemm	24859	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Gosauzwang		24859	Klemm	30.9.1946		
Cochlostoma septemspirale Klemm	6306	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Solleitenweg Hallstatt - Steeg		6306	Fuchs	7.1939		
Cochlostoma septemspirale Klemm	52138	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Soleweg, Gosuamühle - Steeg		52138	Klemm	24.8.1965		
Cochlostoma septemspirale Klemm	6373	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Waldbachstrupp bei Hallstatt		6373	Fuchs	8.1939		
Cochlostoma septemspirale Klemm	49421	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Kalvarienberg Süd		49421	Klemm	1.9.1963		
Cochlostoma septemspirale Klemm	1797	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Weyer, Gaflenzgenist		1797	Ganslm.	2.1933		
Cochlostoma septemspirale Klemm	24194	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Obertraun, bei der Koppenbrunner Höhle		24194	Mahler	19.5.1946		
Cochlostoma septemspirale Klemm	25432	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Weyregg, Atterseegenist		25432	Klemm	28.3.1947		
Cochlostoma septemspirale Klemm	15188	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Goisern, Jochwand		15188	Fuchs	14.8.1936		
Cochlostoma septemspirale Klemm	50723	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Ramsau bei Goisern, Katzengraben		50723	Klemm	29.7.1964		
Cochlostoma septemspirale Klemm	24875	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Gosautal, Südfuß des Zwölferkofels		24875	Klemm	30.9.1946		
Cochlostoma septemspirale Klemm	6405	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Ramsau bei Goisern		6405	Fuchs	8.1938		
Cochlostoma septemspirale Klemm	47402	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Kaiserpark		47402	Klemm	8.7.1962		
Cochlostoma septemspirale Klemm	1124	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Nussdorf am Attersee		1124	Herzog	9.1928		
Cochlostoma septemspirale Klemm	53344	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Erbstollen bei Lauffen		53344	Klemm	12.7.1966		
Cochlostoma septemspirale Klemm	50942	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Rindbachtal bei Ebensee		50942	Klemm	7.9.1964		
Cochlostoma septemspirale Klemm	49232	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Salzberg bei Bad Ischl		49232	Klemm	25.6.1963		
Cochlostoma septemspirale Klemm	25325	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Unterach am Attersee		25325	Klemm	25.11.1946		
Cochlostoma septemspirale Klemm	49272	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Rettenbachtal bei Bad Ischl		49272	Klemm	18.7.1963		
Cochlostoma septemspirale Klemm	47417	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Hallstatt, Straßenfelsen nördl. vom Ort		47417	Klemm	10.7.1962		
Cochlostoma septemspirale Klemm	50776	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Waldbachstrub bei Hallstatt, Felsen, Kl. Fall bis Brücke		50776	Klemm	12.8.1964		
Cochlostoma septemspirale Klemm	53896	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Soleweg nach Lauffen		53896	Klemm	12.7.1966		
Cochlostoma septemspirale Klemm	26268	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Wimmersberg bei Ebensee, SO-Hang		26268	Klemm	30.10.1947		
Cochlostoma septemspirale Klemm	6414	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Hallstatt, Straße		6414	Fuchs	8.1939		
Cochlostoma septemspirale Klemm	47479	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Jainzen bei Bad Ischl, Wasserfall		47479	Klemm	16.7.1962		
Cochlostoma septemspirale Klemm	53361	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Ebensee, Seilbahnstation		53361	Klemm	22.7.1966		
Cochlostoma septemspirale Klemm	47317	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Siriuskogel		47317	Klemm	25.6.1962		
Cochlostoma septemspirale Klemm	50949	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Siriuskogel Nord		50949	Klemm	9.9.1964		
Cochlostoma septemspirale Klemm	27951	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Plomberg am Mondsee		27951	Klemm	5.10.1948		
Cochlostoma septemspirale Klemm	47621	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Obertraun		47621	Klemm	23.7.1962		
Cochlostoma septemspirale Klemm	4617	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl		4617	Fuchs			
Cochlostoma septemspirale Klemm	52149	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Hallstatt, Straße 2 km nördl.		52149	Klemm	16.9.1965		
Cochlostoma septemspirale Klemm	60800	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Felsen hinter Kaiser-Jagdstandbild		60800	Klemm	26.6.1970		
Cochlostoma septemspirale Klemm	23092	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Straße von Weißenbach am Attersee zum Mondsee		23092	Klemm	22.9.1945		
Cochlostoma septemspirale Klemm	50729	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Waldbachstrub bei Hallstatt, Waldanstieg		50729	Klemm	12.8.1964		
Cochlostoma septemspirale Klemm	54848	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Hallstatt, Straße Nord		54848	Klemm	7.7.1967		
Cochlostoma septemspirale Klemm	56369	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Obertraun, Talstation der Dachsteinseilbahn		56369	Klemm	30.6.1968		
Cochlostoma septemspirale Klemm	53377	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Jainzental		53377	Klemm	27.6.1966		
Cochlostoma septemspirale Klemm	56288	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Bad Ischl, Straßenfelsen gegenüber Kalkwerk		56288	Klemm	26.6.1968		
Cochlostoma septemspirale Klemm	49401	NHM Wien	PRESERVED SPECIMEN	10/25/2022		Österreich, Oberösterreich, Soleweg Gosaumühle - Hallstatt		49401	Klemm	20.8.1963		
Cochlostoma septemspirale Klemm	4057	NHM Wien	PRESERVED SPECIMEN	10/31/2022		Österreich, Oberösterreich, Obertraun, Promenadeweg		4057	Waringer	8.1936		
Cochlostoma septemspirale Klemm	53263	NHM Wien	PRESERVED SPECIMEN	10/31/2022		Österreich, Oberösterreich, Traunau-Genist nach Bad Ischl		53263	Klemm	22.6.1966		
Cochlostoma septemspirale Klemm	53225	NHM Wien	PRESERVED SPECIMEN	10/31/2022		Österreich, Oberösterreich, Bad Ischl, Kalkwerk, Trauntal		53225	Klemm	22.6.1966		
Cochlostoma septemspirale Klemm	63765	NHM Wien	PRESERVED SPECIMEN	10/31/2022		Österreich, Oberösterreich, Obertraun, Sarsteinwand Ost		63765	Klemm	3.8.1971		
Cochlostoma septemspirale Klemm	47360	NHM Wien	PRESERVED SPECIMEN	10/31/2022		Österreich, Oberösterreich, Bad Ischl, oberhalb der Talstation der Katrin-Seilbahn		47360	Klemm	29.6.1962		
Cochlostoma septemspirale Klemm	24386	NHM Wien	PRESERVED SPECIMEN	10/31/2022		Österreich, Oberösterreich, Pfarrkirchen bei Bad Hall		24386	Mahler	10.6.1946		
Cochlostoma septemspirale Klemm	53287	NHM Wien	PRESERVED SPECIMEN	10/31/2022		Österreich, Oberösterreich, Bad Ischl, Roith-Stiege		53287	Klemm	27.6.1966		
Cochlostoma septemspirale Klemm	6386	NHM Wien	PRESERVED SPECIMEN	10/31/2022		Österreich, Oberösterreich, Bad Ischl, Johann-Strauss-Promenade		6386	Fuchs	8.1939		
Cochlostoma septemspirale Klemm	53295	NHM Wien	PRESERVED SPECIMEN	10/31/2022		Österreich, Oberösterreich, Stankogel Süd nach Bad Ischl		53295	Klemm	3.7.1966		
