	 Preparation					Cataloging Metadata					Digitization				Exposure to OSCA Portal			5.Integration/Dissemination in International Portals	
	Total	Endemics	Mollusks	Dry Specimen	Wet Specimen	Total	MIDS Level 0	MIDS Level 1	MIDS Level 2	MIDS Level 3	Total	Min. One Picture	Picture Gallery	Multimedia Available	Total	Endemics	Mollusks	Total	Overview
	86964	3809	83155	86964	0	18601	0	3653	14497	451	2624	96	0	0	12202	1136	11066	68363	<b>68.363</b> on GBIF, <b>0</b> on GeoCase, <b>0</b> on BOLD, <b>0</b> on NCBI, <b>0</b> on KulturPool, <b>0</b> on Europeana
inatura	360	202	158	360	0	360	0	0	360	0	360			0	68	0	68		
Uni Graz	828	828	0	828	0	828	0	17	811	0	828			0	0	0	0		
Uni Wien	3636	0	3636	3636	0	3636	0	3636	0	0	0	0	0	0	0	0	0		
Tiroler Landesmuseum	11887	1354	10533	11887	0	11887	0	0	11436	451	451			0	10533	0	10533		
Uni Innsbruck	289	289	0	289	0	289	0	0	289	0	289			0	0	0	0		
OÃ–LKG	68363	0	68363	68363	0	0					300			0	0	0	0	68363	<b>68.363</b> on GBIF
NHM Wien Entomology	1136	1136	0	1136	0	1136	0	0	1136	0	300			0	1136	1136	0		
NHM Wien 3. Zoologie_Mollusken	465	0	465	465	0	465	0	0	465	0	96	96	0	0	465	0	465		